SKU,Merchant Item ID,Metrix Stock Keyboard,Stock status,Product Name,Stock,Description,Status,Tax Rate,Brand,HSN,Category,Sub Category,List Price,Regular Price,Tiered Price,Sale Price,Adwords,Images,Video 1,video_upload,PDF,Weight (Kgs),Lenght (cm),Breadth (cm),Height (cm),Features 1,Features 2,Features 3,Features 4,Features 5,Features 6,Features 7,Features 8,Features 9,Features 10,Features 11,-Model No,-Display,-Type,-Transducer,-LED Indicator,-Velocity,-Acceleration,-Sensor Type,-Minimum curvature radius         ,-Minimum measuring area        ,-Minimum thickness of substrate        ,-Calibration,-Statistics,-Alarm value set        ,-Digital display        ,-Bar Graph Display,-Temperature Measuring Range        ,-Temperature Resolution,-Wind speed measuring range        ,-Test range        ,-Overload Protection        ,-Withstand Voltage        ,-Measuring method        ,-Earth Resistance        ,-Earth voltage        ,-Earth resistance measuring time        ,-LCD Display,-Range,"-Backlight Display
",-Sampling Rate,-Power & Supply,-Accessories,-Accuracy,-Temperature,-Humidity,-Resolution,-Sampling Time        ,-External Trigger Level        ,-Measuring Range,-Measuring Units,-Single Measurement Time        ,-Laser Type,-DC Voltage Range,-AC Voltage Range,-AC Ampere,-DC Ampere,-Resistance,-Frequency Range,-Duty,-Jaw Diameter,-Storage Temperature & Humidity,-Operating Temperature & Humidity,-Battery,-LCD Size,-Response Time,-Operating environment,-Laser Power & Wavelength,-Data Storage,-AC Voltage,-DC Voltage,-Measurement Range,-Flash Tube Life,-Spectral Response,-Emissivity        ,-Operating conditions        ,-Storage conditions        ,-Tetst Distance,-Ambient operating range        ,-Measurement Category        ,-Altitude,-Pollution,-Safety compliance        ,-Resolution Ratio        ,-Sound Velocity Range,-Memory,-Auto switch off,-Rated voltage,-Repeatability,-Working conditions        ,-Evaluation length        ,-Fluctuation of display value        ,-Profile Digital Filter        
Microsurf 10A,Microsurf 10A,Microsurf 10A,,Metrix+ Microsurf 10A Surface Roughness Testers,5,Integrated probe compact Surface Roughness Tester with measuring range Ra upto 16um.,published,18,Metrix+,,NDT Instruments,Surface Roughness Testers,35000,70000,,49000,,https://dominionhardware.com/public/uploads/all/upNmvLRf4pKFv2gi9I16p4DDEQ16wV0ttsXjSJ2p.jpg,,,https://dominionhardware.com/public/uploads/all/54gXkCm2YnEgwNWcKrtAubhR2nfrX0mmsXDF5zYs.pdf,,,,,"Multi-parameter measurement of Ra, Rq, Rz and Rt.",Backlit LCD display with indication for proper probe alignment.,Data storage and recall.,Metric/Imperial conversion.,Compact and low volume structure for convenient storage,,,,,,,Microsurf 10A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,< + 10%	,,,"0.001um when reading <10um
0.01um when reading >= 10um and <100um
0.1um when reading >= 100um

",,,"Ra, Rq : 0.005 ~ 16.00 um / 0.020 ~ 629.9 uinch
Rz, Rt : 0.020 ~ 160.0 um / 0.078 ~ 6299 uinch
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Temperature  : 0 ~ 50oC ; Humidity : <85%
",,<=6%	,"Filter contour : RC, PC-RC, Gauss
Non-filter contour : D-P
"
AVM 05,AVM 05,AVM 05,"Available",Metrix+ AVM 05 Environmental Testers,5,"Separate sensor digital anemometer to measure wind speed upto 45m/s, air flow and air temperature.",published,18,Metrix+,,Digital Anemometers,Environmental Testers,2400,4800,,3360,,https://dominionhardware.com/public/uploads/all/D3jW0CtUiFL5QZE2O8sEs6YYACr3NP0GpHn5H0kr.jpg,,,https://dominionhardware.com/public/uploads/all/iYm8K6MDaP2YYyYFPSqm2BHy91aXa7Di6enxYDvN.pdf,0.26,15.6,6.7,2.8,Built in temperature measurement.,A sensitive balance vane wheel rotates freely in response to air flow,Reading convertible to different measurement units.,Data memory for storing and recalling values later.,Data hold and auto power off.,Backlit display,,,,,,AVM 05,13mm 4-digits LCD,,,,,,"Air velocity/flow sensor : conventional angled vane arms with low friction ball bearing
Temperaure sensor : Precision thermistor",,,,,,,,,,,,,,,,,,,,,,per second approx,4 x 1.5V AAA(UM-4) batteries,,,,,,,,,"Air velocity : m/s, ft/min, knots, km/hr; Air flow : CMM, CFM; Beaufort scale : force; Wave height : m; Air temperature : °C/°F",,,,,,,,,,,,,,,,,,,,,,,,,0 ~ 50°C; Humidity < 80%RH,,,,,,,,,,,,,,,,,
DIT 3125A Eco,DIT 3125A Eco,DIT 3125A Eco,"Available",Metrix+ DIT 3125A Eco Electrical Instruments,5,5kV Digital Insulation Tester with DC Adapter or batteries for power supply,published,18,Metrix+,,Digital Insulation Testers,Electrical Instruments,8600,17200,,12040,,https://www.dominionhardware.com/public/uploads/all/Prw55B6t7YIWgGzjGyBaLJ7pM5Td9AW2iGdjxwGe.jpg,,,https://dominionhardware.com/public/uploads/all/H9NLdMLFWspYIkfwTFhVFfvqL4qfbIIWbfW102gT.pdf,1.027,15.3,21.3,9.5,Backlit LCD display.,Auto discharge.,Timer measurement function and PI measurement,DC Adapter or batteries for power,Live circuit warning symbol with audio sound,Low voltage indication,Auto power off,,,,,DIT 3125A Eco,999 count (1000 count only at 1TΩ),,,,,,,,,,,,,,,,,,DC/AC 30 ~ 600V (50/60Hz),,,,,,,,,,0.5 ~ 10 times/sec,External power supply: DC adapter 12V/1A; or 8x1.5V LR14 battery,,0~99.9GΩ: ±2%rdg +3dgt; >100GΩ: +20% +3dgt,,,1.0V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 ~ 40C, <85%RH","-20 ~ 60C, <90%RH",,,,,,,,,,,,500V / 1000V / 2500V / 5000V,,,,
DIT 918,DIT 918,DIT 918,"Available",Metrix+ DIT 918  Electrical Instruments,5,Economical Digital Insulation Tester with test range upto 2.5kV,published,18,Metrix+,,Digital Insulation Testers,Electrical Instruments,2500,5000,,3500,,"https://www.dominionhardware.com/public/uploads/all/LEAiHfCOdpulHUWERXvsnvr7gCWXm1JcltNwktxc.jpg, https://www.dominionhardware.com/public/uploads/all/1PssxSsKFn9b4tTxrnOJXSPzZa8qzVg69CDPGWV2.jpg, https://www.dominionhardware.com/public/uploads/all/OtJKwuXO9muVHcIfBNJC4ZmED9frqWM6HdU6zSao.jpg",,,https://dominionhardware.com/public/uploads/all/diqEsopoz1vo0Ml4mCwaIAC41kaholClBvcs1fys.pdf,0.55,12.54,17.46,6.9,Backlit LCD display,Auto discharge.,Live wire warning system with audio sound.,Auto power off.,,,,,,,,DIT 918,,,,,,,,,,,,,,,,,,,"100V: 0 ~ 199.9MΩ, 250V: 0 ~ 499.9MΩ, 500V: 0 ~ 999.9MΩ, 1000V: 0 ~ 19.9GΩ, 2500V: 0 ~ 49.9GΩ",AC 1200V/10sec,AC 8320V/5sec,,,,,,,,,6 x AA batteries,,±5%rdg ± 5dgt,,,1.0V,,,,,,,,,,,,,,,-20 ~ 70C,0 ~ 50C,,,,,,,30 ~ 600V,30 ~ 600V,,,,,,,,,,,,,,,,,,,,,,
MT 12A,MT 12A,MT 12A,"Available",Metrix+ MT 12A Surveying Equipment,5,Rugged Infrared Thermometer to measure upto 1150°C with 50:1 DS ratio and data storage,published,18,Metrix+,,Infrared Thermometers,Surveying Equipment,4200,8400,,5880,,https://www.dominionhardware.com/public/uploads/all/vwW3G1bB4UMohcZXS20x5BoWwgnbVB0NGdObHYSC.jpg,,,https://dominionhardware.com/public/uploads/all/dkNlji2ThKPpaVwII6zt1QVNeQ9dPkRuOfFVMUZA.pdf,0.48,22,13.6,6,Data Storage,Backlight Display,Adjustable Emissivity,50:1 Distance to Spot Ratio,,,,,,,,MT 12A,Backlight Display,,,,,,,,,,,,,,,-18°C ~ 1150°C (28 to 2102°F),,,DC/AC 30 ~ 600V (50/60Hz),,,,,,,,,,,1x 9V battery,,±2% or ±2°C,,,,,,,,,,,,,,,,,,,,,,"500msec, 95% response",,,,,,,,8-14 um,0.1 ~ 1.00 adjustable,Temperature : 0 to 40°C; Humidity : 10-95%RH noncondensing @ upto 30°C,-20 to 60°C; <=85% RH; without battery,,,,,,,,,,,,,,,,
DM 100,DM 100,DM 100,"Available",Metrix+ DM 100 Surveying Equipment,5,"100m Laser Distance Meter with area/volume calculations, bi axis spirit level, data storage and clear OLED display",published,18,Metrix+,,Laser Distance Meters,Surveying Equipment,2600,5200,,3640,,https://www.dominionhardware.com/public/uploads/all/Aym0z2GzZC1TVSlxXHRgt3t3msZVMb2DIVDCgptf.jpg,,,https://dominionhardware.com/public/uploads/all/9dQwxNQQzbxzAUkrUrb9ej2wlu2ORIFurNLta1OE.pdf,0.072,11,4.6,2.5,Pocket type.,Area/volume calculations,Clear display for better readability from all angles.,Historical data review.,Bi-axis spirit bubble for checking level.,,,,,,,DM 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±2.0mm,,,,,,0.05 ~ 100m,"Distance : m, ft, in 
Area : m2, ft2 
Volume : m3, ft3",0.25s,"620 – 690nm, Class II, <1mW",,,,,,,,,-20 to 65℃,0 to 40℃,2 x AAA 1.5V ; >5000 times working time(fully charged),,,,,,,,,,,,,,,,,,,,,,,,"Laser : 30s
Instrument : 180s",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG 3000,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coat guage pro,,,,,,,,,,,,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coat Scope Pro,,,,,,,,,,,,,11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcoat F,,,,,,,,,,,,,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcoat N,,,,,,,,,,,,,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTM 18CT,,,,,,,,,,,,,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTM 90CT,,,,,,,,,,,,,68000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHT 1,,,,,,,,,,,,,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225A+,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003TRMS,,,,,,,,,,,,,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510PW,,,,,,,,,,,,,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31TRMS,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD 2,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62 Pro,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 Pro ,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTI 350,,,,,,,,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTI 500,,,,,,,,,,,,,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VB 8202A,,,,,,,,,,,,,16500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM 2,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM-P,,,,,,,,,,,,,6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HT 9B,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013D,,,,,,,,,,,,,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014D,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD 09,,,,,,,,,,,,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC 01,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR 40,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F Probe,,,,,,,,,,,,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN Probe ,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN27k Probe ,,,,,,,,,,,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP Probe,,,,,,,,,,,,,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foil Set ,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC interface,,,,,,,,,,,,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP 02,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP 03,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flat 4""*",,,,,,,,,,,,,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flat 6""*",,,,,,,,,,,,,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flat 8""*",,,,,,,,,,,,,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flat 12""*",,,,,,,,,,,,,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Square 4""*",,,,,,,,,,,,,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Square 6""*",,,,,,,,,,,,,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Square 8""*",,,,,,,,,,,,,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Square 12""*",,,,,,,,,,,,,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
